CustomerID,frequency,recency,T,monetary_value
12347.0,7,1,366,550.4257142857143
12348.0,4,74,357,131.9875
12349.0,1,18,18,1331.65
12350.0,1,309,309,301.9
12352.0,8,35,296,175.1175
12353.0,1,203,203,74.30000000000001
12354.0,1,231,231,982.19
12355.0,1,213,213,311.5
12356.0,3,22,325,683.77
12357.0,1,32,32,5082.16
12358.0,2,1,150,481.485
12359.0,4,57,331,1137.27
12360.0,3,51,200,722.3033333333333
12361.0,1,286,286,182.4
12362.0,10,2,295,478.44399999999996
12363.0,2,109,241,271.625
12364.0,4,7,111,298.32
12365.0,2,290,290,161.47
12367.0,1,3,3,151.05
12370.0,4,50,359,763.79
12371.0,2,44,59,768.98
12372.0,3,71,296,394.03
12373.0,1,310,310,327.85
12374.0,1,24,24,614.23
12375.0,2,10,97,190.15
12377.0,2,314,354,773.76
12378.0,1,129,129,3790.64
12379.0,2,81,169,397.595
12380.0,4,21,185,559.875
12381.0,5,4,119,298.942
12383.0,5,184,351,316.068
12384.0,2,28,121,214.41
12386.0,2,337,366,138.6
12388.0,6,15,326,438.61666666666673
12390.0,1,79,79,491.49
12391.0,1,21,21,427.13
12393.0,4,71,332,368.375
12394.0,2,63,216,335.46500000000003
12395.0,12,18,370,198.13083333333336
12397.0,2,35,134,1068.005
12398.0,1,45,45,1458.69
12399.0,4,118,261,230.1
12401.0,1,302,302,62.85
12402.0,1,322,322,210.6
12403.0,1,49,49,315.40000000000003
12405.0,1,148,148,1379.6200000000001
12406.0,2,21,183,1573.89
12407.0,5,49,263,277.402
12408.0,5,32,259,477.794
12409.0,3,78,182,2054.0133333333333
12410.0,2,308,308,264.615
12412.0,3,74,168,389.0133333333333
12413.0,3,66,336,226.73333333333335
12414.0,3,216,309,139.63333333333333
12415.0,21,23,337,1650.348095238095
12417.0,9,2,357,338.9166666666667
12418.0,1,112,112,635.41
12420.0,1,63,63,535.55
12421.0,4,15,318,167.455
12422.0,3,95,324,230.10333333333335
12423.0,8,0,353,214.45125
12424.0,2,162,162,620.11
12425.0,1,77,77,682.64
12426.0,1,194,194,528.58
12427.0,3,21,371,226.12333333333333
12428.0,9,25,283,693.9088888888889
12429.0,4,8,365,796.01
12430.0,1,42,42,206.1
12431.0,15,35,373,326.32
12432.0,5,42,171,686.8860000000001
12433.0,7,0,372,1514.0528571428572
12434.0,2,84,259,394.92
12435.0,2,79,267,1889.625
12436.0,1,99,99,444.01000000000005
12437.0,18,1,330,224.61333333333334
12438.0,2,13,139,1227.935
12441.0,1,366,366,163.05
12442.0,1,2,2,151.56
12444.0,5,20,170,739.012
12445.0,1,21,21,92.4
12446.0,1,57,57,921.86
12447.0,1,242,242,447.28999999999996
12448.0,1,43,43,328.95
12449.0,4,21,186,929.085
12450.0,2,155,172,86.565
12451.0,5,10,324,1538.5620000000001
12452.0,2,16,16,181.335
12453.0,1,133,133,707.09
12454.0,1,55,55,1524.65
12455.0,6,72,296,292.22666666666663
12456.0,3,43,254,817.4133333333333
12457.0,7,65,238,233.34714285714287
12458.0,2,70,284,387.565
12461.0,2,93,154,325.79
12462.0,2,18,302,466.15
12463.0,4,52,241,311.345
12464.0,8,9,308,86.4375
12465.0,2,16,168,343.87
12468.0,2,187,315,329.87
12471.0,30,1,364,454.246
12472.0,7,31,368,847.29
12473.0,5,28,191,515.79
12474.0,18,16,329,374.8861111111111
12475.0,1,53,53,662.1899999999999
12476.0,11,15,360,501.6890909090909
12477.0,6,22,301,1852.89
12478.0,1,3,3,562.09
12479.0,1,10,10,486.35
12480.0,4,27,335,668.7975
12481.0,10,22,365,458.745
12483.0,8,16,338,233.88
12484.0,6,32,335,651.7216666666667
12488.0,3,9,75,383.6366666666667
12489.0,1,335,335,281.43
12490.0,10,4,329,479.53599999999994
12491.0,1,38,38,404.5
12492.0,2,62,104,121.105
12493.0,2,165,196,191.83
12494.0,7,15,365,159.53571428571428
12497.0,1,81,81,307.65
12498.0,3,20,57,124.06666666666668
12500.0,11,22,333,142.55818181818182
12501.0,1,336,336,2039.41
12502.0,5,95,309,555.514
12504.0,2,17,29,187.5
12506.0,1,232,232,72.6
12507.0,3,133,298,199.33333333333334
12508.0,2,25,28,198.94
12509.0,1,283,283,162.0
12510.0,2,142,324,389.9
12512.0,2,65,65,65.865
12513.0,1,112,112,565.04
12514.0,1,266,266,959.68
12515.0,1,352,352,273.3
12516.0,2,77,180,401.865
12517.0,5,27,189,472.87
12518.0,5,0,109,383.018
12519.0,1,63,63,295.34
12520.0,5,78,273,475.312
12521.0,1,142,142,559.03
12522.0,2,38,50,84.36
12523.0,11,18,331,147.12818181818182
12524.0,8,8,333,378.495
12526.0,3,0,93,403.15333333333336
12527.0,3,81,325,111.40333333333335
12528.0,6,8,312,270.68833333333333
12530.0,4,59,336,341.355
12531.0,1,14,14,102.77
12532.0,1,29,29,327.33000000000004
12534.0,1,130,130,986.23
12535.0,2,91,186,348.925
12536.0,3,42,58,1361.1566666666665
12538.0,1,28,28,348.75
12539.0,4,21,333,1258.525
12540.0,17,19,361,642.6258823529412
